file,system_id,regime,num_atoms,iterations,wall_time_s,rmse_ang,pdf_mse,adf_mse,macewall_best_loss
B4C_mp-530074_crystalline_30_cell040_idx00000_seed001311000.npz,B4C_mp-530074,crystalline_30,8755,12,0.8183998560998589,0.18800228154703413,23403.447265625,13055.7841796875,-59770.79163101888
B4C_mp-530074_nanocrystalline_cell040_idx00001_seed001311001.npz,B4C_mp-530074,nanocrystalline,8575,12,0.7960128951817751,0.19003102625732754,15072.0849609375,11228.3828125,-57504.88104338357
B4C_mp-530074_amorphous_cell040_idx00002_seed001311002.npz,B4C_mp-530074,amorphous,8215,12,0.7485619001090527,0.19885361148504296,6780.525390625,11253.9951171875,-49778.54265109938
B4C_mp-530074_SRO_cell040_idx00003_seed001311003.npz,B4C_mp-530074,SRO,8215,12,0.7389951250515878,0.19587034325396216,7904.85205078125,8234.541015625,-52295.93840324104
B4C_mp-530074_LRO_cell040_idx00004_seed001311004.npz,B4C_mp-530074,LRO,8215,12,0.740874103968963,0.1934855360391329,10978.6328125,8173.39892578125,-54029.19756071732
B4C_mp-530074_MRO_cell040_idx00005_seed001311005.npz,B4C_mp-530074,MRO,7860,12,0.6793047611135989,0.1976972767290541,8249.7373046875,6503.193359375,-50321.58034694987
B4C_mp-530074_crystalline_30_cell040_idx00006_seed001311006.npz,B4C_mp-530074,crystalline_30,8755,12,0.8182594769168645,0.1877569122130184,24047.998046875,11872.8310546875,-59838.31504036751
B4C_mp-530074_nanocrystalline_cell040_idx00007_seed001311007.npz,B4C_mp-530074,nanocrystalline,8575,12,0.7943955329246819,0.18991651042177243,15307.732421875,12619.796875,-57248.764155638666
B4C_mp-530074_amorphous_cell040_idx00008_seed001311008.npz,B4C_mp-530074,amorphous,8215,12,0.7474704089108855,0.19850375719341398,6445.90869140625,11858.9345703125,-49850.4946943966
B4C_mp-530074_SRO_cell040_idx00009_seed001311009.npz,B4C_mp-530074,SRO,8215,12,0.7388661159202456,0.19529736648165918,8322.9296875,8580.15234375,-52339.775154995164
B4C_mp-530074_LRO_cell040_idx00010_seed001311010.npz,B4C_mp-530074,LRO,8215,12,0.7397374038118869,0.19296909270626858,12840.4677734375,8917.599609375,-54284.82384136594
B4C_mp-530074_MRO_cell040_idx00011_seed001311011.npz,B4C_mp-530074,MRO,7860,12,0.6774773930665106,0.19803210697425047,7594.19140625,6207.50341796875,-50397.338971226636
CaC2_mp-1227257_crystalline_30_cell050_idx00000_seed001137000.npz,CaC2_mp-1227257,crystalline_30,7098,12,0.33974628197029233,0.18212540122793847,2422.0595703125,28.014982223510742,-45391.55973179355
CaC2_mp-1227257_nanocrystalline_cell050_idx00001_seed001137001.npz,CaC2_mp-1227257,nanocrystalline,6951,12,0.3329824039246887,0.18690186145878254,1306.124267578125,29.429792404174805,-43712.234532539434
CaC2_mp-1227257_amorphous_cell050_idx00002_seed001137002.npz,CaC2_mp-1227257,amorphous,6663,12,0.3015966829843819,0.18606688914319672,938.2776489257812,300.84783935546875,-39515.078980063925
CaC2_mp-1227257_SRO_cell050_idx00003_seed001137003.npz,CaC2_mp-1227257,SRO,6663,12,0.2992877918295562,0.18905934461520693,853.5935668945312,97.17668151855469,-40456.60371018626
CaC2_mp-1227257_LRO_cell050_idx00004_seed001137004.npz,CaC2_mp-1227257,LRO,6663,12,0.30289179109968245,0.19139268877691282,1237.5765380859375,29.084360122680664,-41174.0132730905
CaC2_mp-1227257_MRO_cell050_idx00005_seed001137005.npz,CaC2_mp-1227257,MRO,6372,12,0.28113831393420696,0.19353402842567932,925.0505981445312,48.21002960205078,-38375.167439992736
CaC2_mp-1227257_crystalline_30_cell050_idx00006_seed001137006.npz,CaC2_mp-1227257,crystalline_30,7098,12,0.3401548641268164,0.18407626555728265,2441.733154296875,26.02906608581543,-45176.25213042242
CaC2_mp-1227257_nanocrystalline_cell050_idx00007_seed001137007.npz,CaC2_mp-1227257,nanocrystalline,6951,12,0.33171738404780626,0.1871079059685994,1482.15185546875,36.5911750793457,-43690.581807380055
